model,clustering,reduction,coherence_score
model_trial_0,K-means,PCA,0.3901
model_trial_1,K-means,PCA,0.5037
model_trial_2,HDBSCAN,UMAP,0.538
model_trial_5,HDBSCAN,UMAP,0.5436
model_trial_6,K-means,PCA,0.5041
model_trial_7,HDBSCAN,UMAP,0.4244
model_trial_9,HDBSCAN,UMAP,0.4275
model_trial_1,HDBSCAN,UMAP,0.5837
model_trial_0,K-means,UMAP,0.7682
model_trial_3,K-means,PCA,0.725
model_trial_2,K-means,PCA,0.7308
model_trial_3,K-means,UMAP,0.7575
model_trial_4,K-means,UMAP,0.8369
model_trial_5,K-means,PCA,0.7312
model_trial_9,K-means,PCA,0.7455
model_trial_10,HDBSCAN,UMAP,0.684
model_trial_12,K-means,UMAP,0.7535
model_trial_2,K-means,PCA,0.3401
model_trial_2,K-means,UMAP,0.7293
model_trial_0,HDBSCAN,UMAP,0.7398
model_trial_1,HDBSCAN,UMAP,0.7467
model_trial_2,K-means,UMAP,0.7645
model_trial_4,HDBSCAN,UMAP,0.3906
model_trial_5,HDBSCAN,UMAP,0.5472
model_trial_0,K-means,PCA,0.7986
model_trial_2,K-means,PCA,0.3283
model_trial_1,K-means,PCA,0.3909
model_trial_1,K-means,PCA,0.8837
model_trial_3,K-means,UMAP,0.4658
model_trial_0,K-means,UMAP,0.6785
model_trial_0,K-means,PCA,0.829
model_trial_1,HDBSCAN,UMAP,0.6988
model_trial_0,K-means,UMAP,0.6008
model_trial_1,HDBSCAN,UMAP,0.4482
