model,clustering,reduction,coherence_score
model_trial_0,HDBSCAN,PCA,0.6965
model_trial_0,K-means,UMAP,0.503
model_trial_1,K-means,PCA,0.4336
model_trial_2,HDBSCAN,UMAP,0.5362
model_trial_3,K-means,PCA,0.5894
model_trial_0,HDBSCAN,UMAP,0.6794
model_trial_1,K-means,PCA,0.631
model_trial_2,K-means,PCA,0.3096
model_trial_3,K-means,PCA,0.5502
model_trial_4,K-means,UMAP,0.5657
model_trial_5,K-means,UMAP,0.42
model_trial_6,HDBSCAN,UMAP,0.426
model_trial_7,K-means,PCA,0.4296
model_trial_8,K-means,PCA,0.7446
model_trial_9,K-means,UMAP,0.603
