Tópicos,Words
0,"['chegar', 'entregar', 'empresa', 'hering', 'compr', 'colocar', 'compr_produto', 'compra', 'transportadora', 'serviço']"
1,"['produto', 'valor', 'compra', 'fazer', 'entrar_contato', 'pagar', 'comprar', 'devolução', 'loja', 'estorno']"
2,"['compra', 'site', 'agora', 'vendedor', 'aparelho', 'pedir', 'produto', 'funcionar', 'problema', 'ficar']"
3,"['compra', 'novembro', 'serviço', 'assinatura', 'empresa', 'cobrar', 'contato', 'momento', 'reembolso', 'prime']"
4,"['comprar', 'entregar', 'dizer', 'loja', 'compr', 'fazer', 'cliente', 'falar', 'site', 'problema']"
5,"['contar', 'cartão', 'pedir', 'conta', 'comprar', 'valor', 'cancelar', 'compra', 'pagamento', 'cartão_crédito']"
6,"['compra', 'reclamação', 'site', 'resolver', 'poder', 'pagar', 'produto', 'pedir', 'usar', 'resposta']"
7,"['pedir', 'entregar', 'loja', 'agora', 'comprar', 'compr', 'ficar', 'falar', 'querer', 'entrar_contato']"
8,"['entregar', 'pedir', 'compra', 'receber', 'fazer', 'produto', 'hoje', 'chegar', 'comprar', 'empresa']"
9,"['pedir', 'entregar', 'site', 'compra', 'informar', 'chegar', 'ficar', 'empresa', 'problema', 'querer']"
10,"['produto', 'recebi', 'compra', 'enviar', 'realizei_compra', 'site', 'compr', 'pedir', 'loja', 'produto_chegar']"
