Tópicos,Words
0,"['vendedor', 'empresa', 'valor', 'devolução', 'cliente', 'pacote', 'receber', 'assim', 'dizer', 'problema']"
1,"['receber', 'loja', 'empresa', 'ainda', 'então', 'cancelamento', 'informar', 'dizer', 'geladeira', 'dia']"
2,"['loja', 'empresa', 'magalu', 'dizer', 'resolver', 'falar', 'problema', 'cancelar', 'compr', 'querer']"
3,"['pagar', 'poder', 'informar', 'empresa', 'cancelar', 'transportadora', 'receber', 'enviar', 'novamente', 'ficar']"
4,"['empresa', 'dia', 'cancelar', 'cancelamento', 'valor', 'informar', 'agora', 'poder', 'receber', 'forma']"
5,"['prazo', 'empresa', 'cliente', 'poder', 'informar', 'dia', 'valor', 'problema', 'ficar', 'informação']"
6,"['contar', 'cartão', 'loja', 'problema', 'conta', 'dizer', 'valor', 'atendente', 'poder', 'novamente']"
7,"['transportadora', 'dizer', 'recebi', 'falar', 'contar', 'empresa', 'hoje', 'poder', 'dia', 'resolver']"
8,"['estorno', 'querer', 'dizer', 'pagar', 'ainda', 'cancelar', 'esperar', 'problema', 'agora', 'valor']"
9,"['ficar', 'dizer', 'problema', 'cancelar', 'falar', 'contar', 'novamente', 'querer', 'informar', 'poder']"
