Tópicos,Words
0,"['loja', 'dia', 'poder', 'problema', 'atendimento', 'endereço', 'empresa', 'valor', 'devolução', 'resposta']"
1,"['valor', 'mensagem', 'empresa', 'loja', 'poder', 'vendedor', 'informação', 'cancelamento', 'problema', 'prazo']"
2,"['loja', 'problema', 'dia', 'devolução', 'frete', 'empresa', 'mensagem', 'informação', 'mercadoria', 'forma']"
3,"['empresa', 'prazo', 'loja', 'dia', 'valor', 'problema', 'informação', 'hora', 'situação', 'poder']"
4,"['loja', 'valor', 'dia', 'empresa', 'prazo', 'troca', 'poder', 'cartão', 'número', 'dinheiro']"
5,"['prazo', 'problema', 'empresa', 'loja', 'mensagem', 'dia', 'data', 'hora', 'poder', 'magalu']"
6,"['valor', 'problema', 'poder', 'dinheiro', 'devolução', 'loja', 'parte', 'dia', 'situação', 'correio']"
7,"['dia', 'prazo', 'valor', 'problema', 'empresa', 'loja', 'devolução', 'cliente', 'pagamento', 'dinheiro']"
8,"['loja', 'cancelamento', 'prazo', 'dia', 'informação', 'atendimento', 'situação', 'problema', 'reclamação', 'mensagem']"
9,"['valor', 'loja', 'dia', 'vendedor', 'cancelamento', 'prazo', 'informação', 'poder', 'cliente', 'devolução']"
10,"['valor', 'empresa', 'pagamento', 'poder', 'momento', 'cartão', 'dia', 'loja', 'respeito', 'resposta']"
11,"['loja', 'dia', 'mensagem', 'prazo', 'retorno', 'cartão', 'valor', 'poder', 'informação', 'empresa']"
12,"['loja', 'empresa', 'problema', 'dia', 'momento', 'atendimento', 'prazo', 'forma', 'resposta', 'magalu']"
13,"['problema', 'loja', 'anúncio', 'dia', 'tempo', 'anuncio', 'valor', 'forma', 'vendedor', 'mensagem']"
14,"['valor', 'loja', 'dinheiro', 'dia', 'atendimento', 'empresa', 'problema', 'situação', 'telefone', 'informação']"
15,"['valor', 'loja', 'mensagem', 'dia', 'atendimento', 'problema', 'cancelamento', 'empresa', 'resposta', 'pagamento']"
16,"['loja', 'empresa', 'cliente', 'problema', 'atendimento', 'poder', 'informação', 'loja_loja', 'solução', 'valor']"
17,"['empresa', 'valor', 'problema', 'loja', 'dia', 'prazo', 'cartão', 'protocolo', 'compr', 'reclamação']"
18,"['loja', 'situação', 'dia', 'problema', 'valor', 'resposta', 'prazo', 'vez', 'forma', 'nota']"
19,"['empresa', 'loja', 'atendimento', 'valor', 'dia', 'prazo', 'cancelamento', 'mês', 'loja_loja', 'cliente']"
