Tópicos,Words
0,"['loja', 'atendimento', 'dinheiro', 'valor', 'problema', 'promoção', 'aparelho', 'compr', 'número', 'hora']"
1,"['valor', 'informação', 'pagamento', 'compr', 'cancelamento', 'mensagem', 'momento', 'data', 'erro', 'devolução']"
2,"['prazo', 'problema', 'momento', 'previsão', 'atraso', 'atendimento', 'empresa', 'protocolo', 'informação', 'endereço']"
3,"['devolução', 'data', 'vendedor', 'valor', 'frete', 'poder', 'reclamação', 'mensagem', 'resposta', 'correio']"
4,"['empresa', 'encomenda', 'prazo', 'telefone', 'problema', 'reclamação', 'informação', 'nome', 'loja', 'pessoa']"
5,"['valor', 'compr', 'oferta', 'resposta', 'problema', 'número', 'tempo', 'cashback', 'respeito', 'empresa']"
6,"['dinheiro', 'mensagem', 'controle', 'retorno', 'pagamento', 'data', 'respeito', 'novembro', 'atualização', 'resposta']"
7,"['telefone', 'acesso', 'atendimento', 'cadastro', 'suporte', 'troca', 'mensagem', 'livro', 'ponto', 'poder']"
8,"['cancelamento', 'serviço', 'consigo', 'jogo', 'estorno', 'número', 'anúncio', 'data', 'cumprimento', 'empresa']"
9,"['mensagem', 'valor', 'conta', 'rastreamento', 'assinatura', 'plataforma', 'venda', 'data', 'cliente', 'dinheiro']"
10,"['cartão', 'problema', 'solução', 'cliente', 'fatura', 'telefone', 'atendimento', 'loja', 'cashback', 'número']"
11,"['prazo', 'compr', 'troca', 'opção', 'telefone', 'código', 'retorno', 'loja', 'montagem', 'dinheiro']"
