Tópicos,Words
0,"['compra', 'loja', 'prazo', 'atraso', 'cancelamento', 'contato', 'compr', 'valor', 'problema', 'dia']"
1,"['valor', 'compra', 'empresa', 'dia', 'site', 'contato', 'pagamento', 'devolução', 'forma', 'previsão']"
2,"['compra', 'anúncio', 'situação', 'valor', 'problema', 'atendimento', 'cadastro', 'informação', 'número', 'forma']"
3,"['nota', 'cliente', 'empresa', 'compra', 'venda', 'garantia', 'prazo', 'problema', 'informação', 'loja']"
4,"['problema', 'contato', 'compra', 'dinheiro', 'resposta', 'forma', 'valor', 'poder', 'frete', 'cliente']"
5,"['loja', 'compra', 'magalu', 'dia', 'empresa', 'problema', 'preço', 'resposta', 'oferta', 'atendimento']"
6,"['contato', 'dia', 'compra', 'opção', 'reclamação', 'prazo', 'correio', 'empresa', 'hora', 'data']"
7,"['empresa', 'loja', 'compra', 'mensagem', 'problema', 'contato', 'dia', 'atendimento', 'informação', 'dinheiro']"
8,"['empresa', 'loja', 'compra', 'site', 'prazo', 'cancelamento', 'dia', 'compr_produto', 'problema', 'momento']"
9,"['compra', 'valor', 'prazo', 'retorno', 'problema', 'cliente', 'devolução', 'data', 'vendedor', 'cancelamento']"
10,"['compra', 'dia', 'loja', 'valor', 'contato', 'pagamento', 'dinheiro', 'opção', 'cartão', 'mensagem']"
11,"['compra', 'momento', 'loja', 'contato', 'site', 'prazo', 'empresa', 'reclamação', 'cartão', 'telefone']"
