Title,Body
"Recebi um e-mail que parte do pedido não foi pago, só que foi","Olá!Preciso da ajuda de vocês para entender qual foi o problema.Recebi um e-mail que uns itens não foram pagos só que quando fiz esta compra, foi o valor de r$135,44 que foi cobrado em meu cartão. Ao verificar os itens deste pedido aparece o valor de r$128,26. Então me parece que foi pago o que vocês dizem que não foi.Então, se puderem me estornar o valor que foi cobrado, não precisa enviar os sabonetes.Obrigada!"
Produto falsificado e não me deixam devolver ,"COMPREI UM PERFUME E QUANDO RECEBI O PRODUTO NÃO VALE NADA. O CHEIRO NÃO DURA MAIS QUE 5 MINUTOS NA ROUPA.DESSA MANEIRA, TENTEI DEVOLVER DENTRO DO PRAZO LEGAL DE 7 DIAS, PREVISTO NO CDC E A AMAZON INFORMA QUE ESSE PRODUTO NÃO PODE SER DEVOLVIDO DE ACORDO COM A POLÍTICA DE DEVOLUÇÃO DELES. ISSO É TOTALMENTE CONTRA A LEGISLAÇÃO, A EMPRESA ESTÁ SE NEGANDO A RECEBER UM PRODUTO COMPRADO PELA INTERNET DENTRO DO PRAZO DE 7 DIAS. QUERO DEVOLVER O ITEM E RECEBER MEU DINHEIRO DE VOLTA. ISSO DEVERIA ESTAR PREVISTO NA GARANTIA DE A A Z"
COBRANDO CONTEUDO DIGITAL sem solicitação,"Novamente estava em casa, quando terminei de assistir a serie Anéis do poder e desliguei a televisão, e assim agora de tarde veio uma cobrança no cartão de credito no valor de 59,90 - sem nenhum motivo pois não contrato serviços da amazon prime vídeos ou quaisquer outros, minha assinatura e anual apenas. Fiz o bloquei para ter certeza que não foi [Editado pelo Reclame Aqui] e la esta a cobrança, consta como Conteúdo digital, sendo que não contratei absolutamente nada. "
Cobrança indevida,"Fiz a assinatura da amazon prime video no valor de R$ 14,90. E venho cobrando em minha fatura deste mês a cobrança de R$ 14,90 relativa a minha assinatura e está correta. Porém venho cobrando um valor de R$ 24,50 da amazon.com.br digital sendo um canal que nem conheço e não solicitei. Quero estar recebendo o valor que paguei indevidamente. Aguardo retorno."
Troquei de telefone e consigo acessar minha conta,"Prezados,Tenho uma conta na Amazon ao qual já fiz compras anteriormente, mas no momento estou morando na Alemanha e possuo outro número de telefone.Não consigo acessar minha conta, pois é solicitado verificação através do meu número de celular antigo, ao qual já não tenho mais acesso:A questão é, não tenho mais esse número de telefone, eu gostaria de continuar o meu cadastro com o mesmo e-mail, sei que está vinculada a conta do Brasil, mas não consigo comprar nada na Amazon daqui.Precisaria que vocês realizassem o Update em meu cadastro."
Devolução nos 7 dias,"Requeri a devolução do produto ainda nos sete dias foi atendido, porém o código que me enviaram não é possível realizar a devolução.Foi até correios mas obtive a negativa, pois o código não é compatível com o sistema deles.Entrei contato novamente e o fornecedor informou que é a amazon que fornece o código dos correios, porém até moimento não recebi nadaNão sei para onde encaminhar para devolução o produto."
Não fui reembolsado ,"Fiz a compra de um brinquedo, a transportadora, não conseguiram entregar o produto, com todo endereço correto, e ainda eles cancelaram o meu pedido automático sem minha autorização, e ainda a Amazon não reembolsaram o meu dinheiro do produto."
Amazon não permite cancelar assinatura  Discovery+,"Estou tentando cancelar a assinatura da Discovery pela Amazon, mas simplesmente não tem a opção para cancelar.Iniciei o cancelamento da conta toda, não queria, mas eu prefiro cancelar tudo e não ser mais cobrada. Li que cancelando tudo, as outras assinaturas também cancelam. Se mês que vem vier cobrando algo, representarei. Isso que fizeram é [Editado pelo Reclame Aqui].Informa que pode cancelar e não tem opção no site."
Ineficiencia Maxima,Comprei um carregador Fonte Carregador para Notebook Acer Aspire A515 que nao funciona para o meu Aspire A515. Iniciei a devolucao em 09 de AGOSTO. No mesmo dia embalei o produto para coleta da Amazon e o deixei na portaria. O produto seria recolhido com ate TRES DIAS uteis. Ja se passaram 20 DIAS UTEIS. Quero meu dinheiro de volta! INDIGNADAÉ PARA BUSCAR O PRODUTO E DEVOLVER MEU DINHEIRO! NAO PARA EU PERDER MEU TEMPO RECEBENDO LIGACAO PARA ALGO QUE É PUBLICADO COMO AUTOMATICO (PROPAGANDA ENGANOSA ~CRIWE) . ESTOU DISPONIVEL AMANHA  E TERÇA ÀS 10 DA MANHÃ PARA TAL LIGAÇÃO
Fiz compra Amazon,"Fiz compra Amazon aonde previsão de entrega de ambos era 17/09/2022 - no dia 16/09/2022 vieram fazer entrega ok eu recebe, no dia seguinte vieram fazer nova entrega eu questionei para entregador Dialog que estava faltando, mas 2 produto meu, porém entregador me passou que não seria entregue, pois naquele dia 17/09/2022 Já estava  sendo encerrada as entregas, ok. Ai no dia 17/09 transportadora cancelou simplesmente pedido com  a desculpa eu me recusei recebe sendo que não vieram entrega, mas  nada na minha casa."
