Title,Body
Cobrança indevida ,"Amazon Prime fizeram uma cobrança indevida de 14,90 sendo que fiz o cancelamento antes dos 30 dias de teste(GRATIS) .Aguardo retorno "
Pedido cancelado,"O produto estava em Oferta, ao realizar a compra no site da Amazon, dois dias após o pagamento cancelaram a venda sem alegações, dizendo que o estorno do cartão seria validado em até 60 dias. Ao mesmo tempo, no site da empresa consta produto similar com o dobro do preço anunciado. Ao procurar a empresa disse que a venda é realizada por terceiros, porém, é notória uma propaganda de promoção enganosa, onde o dinheiro do cliente é computado e após tal fato é cancelado o pedido demorando até 60 dias para o estorno. É uma propagando enganosa de promoção, ao qual eu gostaria que a empresa honrasse o compromisso da Promoção que ofertou e me encaminhasse o produto que já foi debitado em meu cartão.Em anexo, print do produto cancelado e no canto superior esquerdo o mesmo produto com o dobro do preço disponível. Além do chat aberto e sem respostas a mais de meia hora."
Venda não honrada,"Comprei duas unidades de uma promoção prometendo entregar 20 pacotinhos de figurinhas do álbum da copa do mundo Panini, por R$ 39,20 cada+ frete, hoje o vendedor me contactou via mensagem do sistema da Amazon, afirmando que a plataforma fez um erro em dua venda virtual e que não terá como honrar a venda, solicitando que eu cancele a compra para não quebrar sua empresa e não ser suspenso do site de vendas da AmazonOra, se procede o que o vendedor afirma, a Amazon deveria se responsabilizar e honrar de sua parte pela venda assumida ou ela mesmo cancelar a venda, devolver o dinheiro e não penalizar o vendedor.Aguardo uma posição da Amazon sobre o assunto.Att. Rafael"
Cancelei minha assinatura e continuo sendo cobrada.,"Estou com um problema super desagradável com a Amazon. Cancelei minha assinatura, justamente por cobranças indevidas no cartão pela prime video sem antes me consultar, e ,agora, cancelei minha assinatura, mas continuo sendo cobrada. Por favor, resolvam!!!! Cancelem isso de uma vez."
"2 compras, 2 atrasos","Não a muito a dizer, apenas formalizar minha tristeza como pai e decepção como consumidor.1 pedido que não foi entregue - 701-7797906-36474041 reclamação que vocês não resolveram - 1498569492 pedido que não foi entregue - 702-9158089-76218332 reclamação que vocês provavelmente não irão resolver - Essa de agoraPeço apenas para me devolverem meu dinheiro e deixo devidamente registrado que acionarei o órgão de pequenas causas do estado de Minas Gerais"
Cobrança indevida por assinatura indesejada ,"Apareceu uma cobrança indevida no meu cartão de um pacote anual do canal PREMIERE no Prime Video no valor de 358,80, alegando que a assinatura foi feita no dia 17 de agosto, eu só vi agora. Eu nunca assinei isso, pelo amor de Deus! Nem conseguir cancelar eu consigo, não aparece nas configurações do Amazon Prime a opção de cancelamento. Por favor resolvam isso, eu não tenho dinheiro pra pagar isso."
REEMBOLSO QUE NAO FOI ENVIADO ,Fiz uma compra de 3 Batedeiras pela Amazon . 1 foi CANCELADA PELA AMAZON e a outra foi DEVOLVIDA E SOLICITADO O REEMBOLSO feito a compra no dia 14/06/2022 e ATE A DATA DE HOJE ESTOU AGUARDANDO O REEMBOLSO.  ABSURDO NE AMAZON????? PRECISO DO MEU DINHEIRO DAS 2 QUE FORAM . 1 ESTOU PAGANDO QUE FICOU . MAS QUERO O REEMBOLSO DAS 2 QUE NAO ESTAO COMIGO!!! 
Transportadora Ruim e Responsabilidade da Amazon com seus Trabalhadores.,"No dia 3 de setembro realizei a compra de três produtos. Chegaram hoje dia 13, estavam jogados no gramado da minha casa, havia gente em casa para receber, e mesmo assim resolveram fazer isso.No rastreamento consta que recebi no dia 9, e quem assinou foi o recebimento foi o próprio entregador (?).É inacreditável a falta de transparência tanto da Amazon quanto da empresa responsável pela entrega. (LOGGI TECNOLOGIA LTDA).Quero deixar claro que NÃO é culpa do entregador. Essa empresa de transporte, funciona como um intermediador tecnológico (aplicativo) entre a Amazon e a entrega do produto. Operam numa lógica de terceirização do trabalho, tanto a AMAZON quanto a LOGGI, pressionam seus trabalhadores para entregarem o quanto antes, e dar migalhas para o trabalhador. É por este motivo que situações como essa ocorrerem, como por exemplo o entregador registrar a entrega antes de acontecer, e depois jogar no pátio da minha casa, sem proteção nenhuma. Tanto a a Amazon como as demais transportadoras privadas exploram seus trabalhadores em um nível inacreditável. Ao trabalhador de atendimento que for obrigado a responder a minha queixa, já digo: Essa reclamação não será resolvida, não é a primeira vez que ocorre, é um problema ESTRUTURAL da Amazon.Não tenho outra escolha a não ser comprar na Amazon, pois a mesma monopoliza o mercado com preços baixíssimos. Mas se pudesse e tivesse condições financeiras, eu utilizaria outra empresa para comprar minhas necessidades, outra transportadora, como por exemplo, os correios, que entregam rapidamente, com transparência, e proximidade dos moradores da cidade ou bairro. "
Não recebi meu Cashback ,"Comprei meu celular pelo link do picpay na Amazon. Deu tudo certo e chegou duas notificações informando que foi aprovado e outra dizendo que a Amazon ainda não liberou. Já passou do prazo, gostaria de saber porque não recebi o Cashback no valor de 150,00. Fiz tudo certinho."
"Cobrança indevida 14,90 Amazon.Com.Br Digital","Assino o Prime vídeo e a amazon cobra minha assinatura de maneira duplicada. Uma cobrança vem com o nome Amazonprimebr a outra vem com Amazon.Com.Br Digital.No site não consigo achar a que se refere essa segunda cobrança, logo, não consigo reclamar ou cancelar o serviço."
